trace,C1,B,S1,C2,S2,prefetch,r,L1_AAT,L1_HR,L1_MR,L2_AAT,L2_RHR,L2_RMR,PF_issued,PF_hits,PF_misses,L1_misses,L2_rhits,L2_rmisses,WB_L1
leela,14,6,1,16,3,hybrid,512,2.341,0.992,0.008,18.775,0.895,0.105,226,168,0,3754,3361,393,386
leela,14,6,1,16,4,hybrid,4,2.347,0.992,0.008,19.575,0.895,0.105,226,168,0,3754,3361,393,386
leela,14,6,1,16,4,hybrid,16,2.347,0.992,0.008,19.575,0.895,0.105,226,168,0,3754,3361,393,386
leela,14,6,1,16,4,hybrid,32,2.347,0.992,0.008,19.575,0.895,0.105,226,168,0,3754,3361,393,386
leela,14,6,1,16,4,hybrid,64,2.347,0.992,0.008,19.575,0.895,0.105,226,168,0,3754,3361,393,386
leela,14,6,1,16,4,hybrid,128,2.347,0.992,0.008,19.575,0.895,0.105,226,168,0,3754,3361,393,386
leela,14,6,1,16,4,hybrid,256,2.347,0.992,0.008,19.575,0.895,0.105,226,168,0,3754,3361,393,386
leela,14,6,1,16,4,hybrid,512,2.347,0.992,0.008,19.575,0.895,0.105,226,168,0,3754,3361,393,386
leela,14,6,1,17,3,hybrid,4,2.341,0.992,0.008,18.775,0.895,0.105,226,168,0,3754,3361,393,386
leela,14,6,1,17,3,hybrid,16,2.341,0.992,0.008,18.775,0.895,0.105,226,168,0,3754,3361,393,386
leela,14,6,1,17,3,hybrid,32,2.341,0.992,0.008,18.775,0.895,0.105,226,168,0,3754,3361,393,386
leela,14,6,1,17,3,hybrid,64,2.341,0.992,0.008,18.775,0.895,0.105,226,168,0,3754,3361,393,386
leela,14,6,1,17,3,hybrid,128,2.341,0.992,0.008,18.775,0.895,0.105,226,168,0,3754,3361,393,386
leela,14,6,1,17,3,hybrid,256,2.341,0.992,0.008,18.775,0.895,0.105,226,168,0,3754,3361,393,386
leela,14,6,1,17,3,hybrid,512,2.341,0.992,0.008,18.775,0.895,0.105,226,168,0,3754,3361,393,386
leela,14,6,1,17,4,hybrid,4,2.347,0.992,0.008,19.575,0.895,0.105,226,168,0,3754,3361,393,386
leela,14,6,1,17,4,hybrid,16,2.347,0.992,0.008,19.575,0.895,0.105,226,168,0,3754,3361,393,386
leela,14,6,1,17,4,hybrid,32,2.347,0.992,0.008,19.575,0.895,0.105,226,168,0,3754,3361,393,386
leela,14,6,1,17,4,hybrid,64,2.347,0.992,0.008,19.575,0.895,0.105,226,168,0,3754,3361,393,386
leela,14,6,1,17,4,hybrid,128,2.347,0.992,0.008,19.575,0.895,0.105,226,168,0,3754,3361,393,386
leela,14,6,1,17,4,hybrid,256,2.347,0.992,0.008,19.575,0.895,0.105,226,168,0,3754,3361,393,386
leela,14,6,1,17,4,hybrid,512,2.347,0.992,0.008,19.575,0.895,0.105,226,168,0,3754,3361,393,386
leela,14,6,2,16,3,hybrid,4,2.512,0.995,0.005,23.638,0.835,0.165,226,168,0,2375,1982,393,42
leela,14,6,2,16,3,hybrid,16,2.512,0.995,0.005,23.638,0.835,0.165,226,168,0,2375,1982,393,42
leela,14,6,2,16,3,hybrid,32,2.512,0.995,0.005,23.638,0.835,0.165,226,168,0,2375,1982,393,42
leela,14,6,2,16,3,hybrid,64,2.512,0.995,0.005,23.638,0.835,0.165,226,168,0,2375,1982,393,42
leela,14,6,2,16,3,hybrid,128,2.512,0.995,0.005,23.638,0.835,0.165,226,168,0,2375,1982,393,42
leela,14,6,2,16,3,hybrid,256,2.512,0.995,0.005,23.638,0.835,0.165,226,168,0,2375,1982,393,42
leela,14,6,2,16,3,hybrid,512,2.512,0.995,0.005,23.638,0.835,0.165,226,168,0,2375,1982,393,42
leela,14,6,2,16,4,hybrid,4,2.516,0.995,0.005,24.438,0.835,0.165,226,168,0,2375,1982,393,42
leela,14,6,2,16,4,hybrid,16,2.516,0.995,0.005,24.438,0.835,0.165,226,168,0,2375,1982,393,42
leela,14,6,2,16,4,hybrid,32,2.516,0.995,0.005,24.438,0.835,0.165,226,168,0,2375,1982,393,42
leela,14,6,2,16,4,hybrid,64,2.516,0.995,0.005,24.438,0.835,0.165,226,168,0,2375,1982,393,42
leela,14,6,2,16,4,hybrid,128,2.516,0.995,0.005,24.438,0.835,0.165,226,168,0,2375,1982,393,42
leela,14,6,2,16,4,hybrid,256,2.516,0.995,0.005,24.438,0.835,0.165,226,168,0,2375,1982,393,42
leela,14,6,2,16,4,hybrid,512,2.516,0.995,0.005,24.438,0.835,0.165,226,168,0,2375,1982,393,42
leela,14,6,2,17,3,hybrid,4,2.512,0.995,0.005,23.638,0.835,0.165,226,168,0,2375,1982,393,42
leela,14,6,2,17,3,hybrid,16,2.512,0.995,0.005,23.638,0.835,0.165,226,168,0,2375,1982,393,42
